name,aquifertype,label,latitude,longitude,datasource,status,welltagno,emsid,uniqueID,GlobalID,URL AQRT Report,CMSLite URL,elevation,FID,summary,obswellcode,GlobalID_2,CreationDate,Creator,EditDate,Editor,x,y,wkid
OBS WELL 003 - Abbotsford (Taylor Road and Mt Lehman Road),IIIC,OBS Well 003,49.118320,-122.387208,UNKNOWN,INACTIVE,17454,1401058,3,3b959dc7-32e4-4d8b-9d65-734d273e9372,,,,1,"Observation Well 003 was active between 1962 and 2004. It was located in surficial aquifer 29, a IIIC aquifer in the Abbotsford area. It was initially included in the network to monitor water levels in developed aquifers. ",003,98919f2d-5117-4ac6-b06d-513858b8e987,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,-13624081.674170457,6294961.721332324,102100
OBS WELL 127 - Mayne Island,,OBS Well 127,48.853700,-123.279700,UNKNOWN,INACTIVE,29606,1400080,127,e291b720-2e0c-421e-b22b-38625718e7bc,,,,2,"Observation Well 127 was active between 1972 and 1996. It was located in bedrock aquifer 619, a IIB aquifer on Mayne Island. It was initially included in the network to monitor water levels in developed aquifers. ",127,d7af1cc1-3994-4084-b614-80c37fdc05fc,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,"11/27/2017, 1:07 PM",RTURGANO_governmentofbc,-13723433.429147528,6250073.705567748,102100
OBS WELL 342 - PRINCE GEORGE,,OBS Well 342,53.944843,-122.814200,UNKNOWN,INACTIVE,75491,E243896,342,ef53b2d4-6ef8-4654-a1bd-168d58ac96be,,,,3,"Observation Well 342 was active between 1999 and 2005. It was located in surficial aquifer 92, a IA aquifer in Prince George. It was initially included in the network to monitor water level in developed aquifers. ",342,6def3882-5550-423d-8d9a-fb97ea774a0d,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,"11/27/2017, 1:06 PM",RTURGANO_governmentofbc,-13671614.20618326,7159717.131272609,102100
OBS WELL 004 - Langley (26th Avenue / 224th Street),IIC,OBS Well 004,49.031300,-122.608600,UNKNOWN,INACTIVE,17459,1401023,4,b32ebb35-2d73-4093-a7ae-63e3c9cb3df7,,,,4,"Observation Well 004 was active between 1962 and 2004. It was located in surficial aquifer 52, a IIC aquifer in the Langley area. It was initially included in the network to monitor water levels in developed aquifers. ",004,530e6cb9-2a6e-4b75-b890-95676ef082c8,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,-13648726.91887616,6280174.018883131,102100
OBS WELL 297 - Cowichan Bay (Southeast),,OBS Well 297,48.753600,-123.650400,UNKNOWN,INACTIVE,56954,E206919,297,eb70c7a0-34f0-40eb-9510-0c065d96e820,,,,5,"Observation Well 297 was active between 1988 and 1997. It was located in surficial aquifer 188, a IIIC aquifer in Cowichan Bay. It was initially included in the network to monitor water levels in developed aquifers. ",297,556a5d71-d2a2-4604-94e6-482e42d85117,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,"11/27/2017, 1:13 PM",RTURGANO_governmentofbc,-13764699.564384596,6233155.418919299,102100
OBS WELL 256 - Mill Bay (Kilmalu Road),IIB,OBS Well 256,48.665100,-123.554600,UNKNOWN,INACTIVE,35369,E206152,256,4bca450c-5c76-46f1-8c87-c05c345bbb2f,,,,6,"Observation Well 256 was active between 1980 and 2003. It was located in bedrock aquifer 204, a IIB aquifer in the Mill Bay area. It was initially included in the network to monitor developed aquifers. ",256,17631909-d851-47c1-9579-c0871b38063e,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,-13754035.157166598,6218225.746155908,102100
OBS WELL 005 - Langley (21527 80th Avenue),IIC,OBS Well 005,49.147700,-122.626500,UNKNOWN,INACTIVE,17452,1401164,5,7b4b7c09-c48a-4172-a40a-c1a28b5a8a4d,,,,7,"Observation Well 005 was active between 1962 and 2004. It was located in surficial aquifer 59, a IIC aquifer in the Fort Langley area. It was initially included in the network to monitor water levels in developed aquifers. ",005,0b9d0f0a-3d79-4b90-9872-f3563705de25,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,-13650719.53776136,6299960.255054915,102100
OBS WELL 007 - Langley (3364 240th Street),IB,OBS Well 007,49.062900,-122.558900,UNKNOWN,INACTIVE,17455,1401061,7,8cbb5850-4dd9-4e9b-b240-bbf337aa847f,,,,8,"Observation Well 007 was active between 1962 and 2004. It is located in shallow confined aquifer 1144 (Hopington C Aquifer), an IB aquifer in Langley (previously labelled as aquifer 35 before this aquifer was re-mapped in 2016). It was included in the network to monitor water levels in developed aquifers. Observation Well 414 (located as a nested well with Observation Well 415 to the northeast), is also located in aquifer 1144 and shows a similar groundwater level trend.",007,cdcf27d8-c376-48d4-81fc-98d5589bcee8,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,-13643194.340183737,6285540.955091108,102100
OBS WELL 153 - Summerland,,OBS Well 153,49.566700,-119.624200,UNKNOWN,INACTIVE,22796,1400969,153,01cb6f01-130e-4a1e-8076-518b4b740034,,,,9,"Observation Well 153 was active between 1969 and 2007. It was located in surficial aquifer 297, a IIIB aquifer in Summerland. It was initially included in the network as part of a groundwater research project.",153,274f0fff-0d0b-4eaf-8619-1645803052e2,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,-13316505.030552717,6371571.342799517,102100
OBS WELL 298 - Cowichan Bay (Southeast),,OBS Well 298,48.755000,-123.659000,UNKNOWN,INACTIVE,44174,E208059,298,431a862d-e245-4c42-bb05-42a724fbdf42,,,,10,"Observation Well 298 was active between 1988 and 2003. It was located in surficial aquifer 186, a IA aquifer in Cowichan Bay. It was initially included in the network to monitor water levels in developed aquifers. ",298,f3e96b08-6fc0-401e-80f5-260514e5db40,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,-13765656.912005415,6233391.805686463,102100
OBS WELL 012 - Langley (200th Street and 21st Avenue),,OBS Well 012,49.041000,-122.670500,UNKNOWN,INACTIVE,18623,1401064,12,9ca66a30-966c-4059-aa0d-f5a89b4235cb,,,,11,"Observation Well 012 was active between 1964 and 2004. It was located in surficial aquifer 41, a IA aquifer in the Langley area. It was initially included in the network to monitor water levels in developed aquifers. ",012,14c45097-b877-4022-ac59-400c8e7d14d3,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,-13655617.595356263,6281821.101737646,102100
OBS WELL 013 - Langley (197th Street and 36th Avenue),,OBS Well 013,49.067600,-122.678900,UNKNOWN,INACTIVE,18626,1401065,13,ec3d0a9d-7485-4c2f-a5da-523ff89b4c01,,,,12,"Observation Well 013 was active between 1964 and 2003. It was located in surficial aquifer 41, a IA aquifer in the Langley area. It was initially included in the network to monitor water levels in developed aquifers. ",013,84fc4dfd-cb66-49cb-be77-1c84727ccbe5,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,-13656552.67907893,6286339.493415443,102100
OBS WELL 014 - Abbotsford (Vye Road),,OBS Well 014,49.021200,-122.273900,UNKNOWN,INACTIVE,24413,1400955,14,fb42afab-64da-4209-b62d-4dd56290231f,,,,13,"Observation Well 014 was active between 1972 and 1999. It was located in surficial aquifer 15, a IA aquifer in the Abbotsford area. It was initially included in the network to obtain baseline water level data in developed aquifers. ",014,3aa2724c-119d-424b-8f2d-7809949e5ed4,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,-13611468.285307651,6278459.356316989,102100
OBS WELL 158 - Summerland (Morgan Street),,OBS Well 158,49.571700,-119.645600,UNKNOWN,INACTIVE,22813,1400974,158,03336db6-06fc-4e8a-aa38-b7de00b47e14,,,,14,"Observation Well 158 was active between 1969 and 2007. It was located in surficial aquifer 297, a IIIB aquifer in Summerland. It was initially included in the network as part of a groundwater research project. ",158,9ddd1bf3-a2b3-4e5d-8375-6c52a1753559,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,"11/27/2017, 1:07 PM",RTURGANO_governmentofbc,-13318887.267655691,6372429.58861317,102100
OBS WELL 300 - North Saanich (Wain Rd and West Saanich Rd),,OBS Well 300,48.673800,-123.451000,UNKNOWN,INACTIVE,57113,E207395,300,19901fe0-d7a1-4efb-b073-634a6df17263,,,,15,"Observation Well 300 was active between 1988 and 1998. It was located in bedrock aquifer 608, a IIB aquifer in North Saanich. It was initially included in the network to monitor water levels in developed aquifers. ",300,26d4bd2d-b7dd-42c1-ab1c-a04807fee2e1,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,"11/7/2017, 7:48 PM",RTURGANO_governmentofbc,-13742502.457920412,6219692.245891025,102100
OBS WELL 346 - Cache Creek (Jackson Park Valleyview Drive),,OBS Well 346,50.811110,-121.323060,UNKNOWN,INACTIVE,41306,E253849,346,5966af76-8499-4977-afea-56be42f7f4a7,,,,16,"Observation Well 346 was established in 2000 and is currently inactive. It was located in surficial aquifer 134, a IA aquifer at Cache Creek. It was established to monitor water levels in developed aquifers.",346,da7f85fc-8860-4eaa-bb49-84d87d286d53,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,"11/27/2017, 1:07 PM",RTURGANO_governmentofbc,-13505621.260681776,6587949.038049823,102100
OBS WELL 053 - Carrs Landing,,OBS Well 053,50.146200,-119.400400,UNKNOWN,INACTIVE,19772,1401040,53,bc44b78f-9053-4e63-9c09-776d2697f03b,,,,17,Observation Well 53 was active between 1969 and 2008. It was located in an unmapped bedrock aquifer in the Carrs Landing area. It was initially included in the network to obtain baseline water level data. undefined,053,6cd8eb99-0e5d-4718-a7f3-f92ac03c77e1,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,-13291591.728513183,6471633.708875516,102100
OBS WELL 173 - Oyama (Sawmill Road),,OBS Well 173,50.106900,-119.360700,UNKNOWN,INACTIVE,8374,1401126,173,cc5b838a-d4cd-4264-8cdb-13ab9b51dfc7,,,,18,"Observation Well 173 was active between 1972 and 2009. It was located in surficial aquifer 345, a IIA aquifer in the Oyama area. It was initially included in the network as part of a groundwater research project. ",173,9d67f559-a190-4995-b784-f3039876750a,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,"11/27/2017, 1:07 PM",RTURGANO_governmentofbc,-13287172.344728688,6464809.661477829,102100
OBS WELL 054 - Carrs Landing,,OBS Well 054,50.145000,-119.400900,UNKNOWN,INACTIVE,22692,1401041,54,afcf8e5f-8969-4c43-babb-e68628c91c07,,,,19,Observation Well 54 was active between 1969 and 2008. It was located in an unmapped bedrock aquifer in the Carrs Landing area. It was initially included in the network to collect baseline groundwater level data.,054,684fb439-7740-4d13-8646-39d5c73e0952,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,"11/27/2017, 1:07 PM",RTURGANO_governmentofbc,-13291647.388258578,6471425.2580521805,102100
OBS WELL 057 - Winfield (Grigg Road),,OBS Well 057,50.009600,-119.385600,UNKNOWN,INACTIVE,26859,1400103,57,63f3078a-7056-481a-ac70-8a0568c1cd9a,,,,20,"Observation Well 057 was active between 1975 and 2003. It was located in surficial aquifer 344, a IB aquifer in the Winfield area. It was initially included in the network as part of a groundwater research project. ",057,33d0d29f-a267-47ed-899f-3d8a45ed2328,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,-13289944.20004944,6447938.557924836,102100
OBS WELL 174 - Oyama (Oyama Road),,OBS Well 174,50.102800,-119.365700,UNKNOWN,INACTIVE,8608,1401131,174,800266ed-0bc9-4711-856e-6d9811a15a47,,,,21,"Observation Well 174 was active between 1972 and 2009. It was located in surficial aquifer 345, a IIA aquifer located in the Oyama area. It was initially included in the network as part of a groundwater research project. ",174,295d1a9f-b18b-4b5c-97c0-69413b2c359a,"11/7/2017, 7:46 PM",RTURGANO_governmentofbc,"11/27/2017, 1:08 PM",RTURGANO_governmentofbc,-13287728.942182656,6464098.060593362,102100
